time_ms,vib_rms,vib_mean,vib_std,current_rms,current_mean,current_std,rpm,temp_C,status 
4664,9.17,9.17,0.07,0.04,0.02,0.04,0.00,30.87,STOPPED 
5664,9.17,9.17,0.06,0.04,0.02,0.04,0.00,30.87,STOPPED 
6664,9.17,9.17,0.06,0.04,0.02,0.03,0.00,30.87,STOPPED 
7664,9.17,9.17,0.06,0.04,0.02,0.04,0.00,30.94,STOPPED 
8664,9.17,9.17,0.07,0.04,0.02,0.04,0.00,30.87,STOPPED 
9664,9.16,9.16,0.06,0.04,0.02,0.04,0.00,30.87,STOPPED 
10664,9.19,9.19,0.05,0.04,0.02,0.03,0.00,30.87,STOPPED 
11664,9.16,9.16,0.06,0.04,0.02,0.04,0.00,30.94,STOPPED 
12664,9.15,9.15,0.05,0.04,0.02,0.03,0.00,30.94,STOPPED 
13664,9.16,9.16,0.04,0.04,0.02,0.03,0.00,30.94,STOPPED 
14664,9.18,9.18,0.06,0.04,0.02,0.03,0.00,30.94,STOPPED 
15664,9.17,9.17,0.06,0.04,0.02,0.03,0.00,30.94,STOPPED 
16664,9.17,9.17,0.04,0.04,0.02,0.03,0.00,30.94,STOPPED 
17664,9.17,9.17,0.04,0.04,0.02,0.04,0.00,30.94,STOPPED 
18664,9.16,9.16,0.06,0.04,0.02,0.03,0.00,30.94,STOPPED 
19664,9.18,9.18,0.04,0.04,0.02,0.03,0.00,30.94,STOPPED 
20664,9.18,9.18,0.05,0.04,0.02,0.03,0.00,30.94,STOPPED 
21664,9.18,9.18,0.06,0.04,0.02,0.03,0.00,30.94,STOPPED 
22664,9.16,9.16,0.06,0.04,0.02,0.03,0.00,30.94,STOPPED 
23664,9.19,9.19,0.06,0.04,0.02,0.03,0.00,30.94,STOPPED 
24664,9.20,9.20,0.05,0.04,0.02,0.03,0.00,30.94,STOPPED 
25664,9.17,9.17,0.05,0.04,0.02,0.04,0.00,30.94,STOPPED 
26664,9.18,9.18,0.05,0.04,0.02,0.04,0.00,30.94,STOPPED 
27664,9.14,9.14,0.05,0.05,0.02,0.04,0.00,30.94,STOPPED 
28664,9.16,9.16,0.07,0.05,0.03,0.04,0.00,30.94,STOPPED 
29664,9.18,9.18,0.07,0.05,0.03,0.04,0.00,30.94,STOPPED 
30664,9.15,9.15,0.07,0.04,0.02,0.04,0.00,30.94,STOPPED 
31664,9.17,9.17,0.06,0.05,0.03,0.04,0.00,30.94,STOPPED 
32664,9.16,9.16,0.06,0.05,0.03,0.04,0.00,30.94,STOPPED 
33664,9.16,9.16,0.06,0.05,0.02,0.04,0.00,30.94,STOPPED 
34664,9.15,9.15,0.05,0.05,0.02,0.04,0.00,30.94,STOPPED 
35664,9.16,9.16,0.05,0.04,0.02,0.04,0.00,30.87,STOPPED 
36664,9.15,9.15,0.06,0.05,0.03,0.04,0.00,30.94,STOPPED 
37664,9.14,9.14,0.06,0.04,0.02,0.04,0.00,30.94,STOPPED 
38664,9.17,9.17,0.06,0.05,0.03,0.04,0.00,30.94,STOPPED 
39664,9.17,9.17,0.06,0.05,0.03,0.04,0.00,30.94,STOPPED 
40664,9.17,9.17,0.06,0.05,0.02,0.04,0.00,30.94,STOPPED 
41664,9.15,9.15,0.06,0.05,0.02,0.04,0.00,30.87,STOPPED 
42664,9.16,9.16,0.07,0.05,0.02,0.04,0.00,30.94,STOPPED 
43664,9.17,9.17,0.05,0.05,0.03,0.04,0.00,30.87,STOPPED 
44664,9.15,9.15,0.06,0.05,0.03,0.04,0.00,30.94,STOPPED 
45664,9.19,9.19,0.05,0.05,0.03,0.04,0.00,30.94,STOPPED 
16664,9.17,9.17,0.04,0.04,0.02,0.03,0.00,30.94,STOPPED 
17664,9.17,9.17,0.04,0.04,0.02,0.04,0.00,30.94,STOPPED 
18664,9.16,9.16,0.06,0.04,0.02,0.03,0.00,30.94,STOPPED 
19664,9.18,9.18,0.04,0.04,0.02,0.03,0.00,30.94,STOPPED 
20664,9.18,9.18,0.05,0.04,0.02,0.03,0.00,30.94,STOPPED 
21664,9.18,9.18,0.06,0.04,0.02,0.03,0.00,30.94,STOPPED 
22664,9.16,9.16,0.06,0.04,0.02,0.03,0.00,30.94,STOPPED 
23664,9.19,9.19,0.06,0.04,0.02,0.03,0.00,30.94,STOPPED 
24664,9.20,9.20,0.05,0.04,0.02,0.03,0.00,30.94,STOPPED 
25664,9.17,9.17,0.05,0.04,0.02,0.04,0.00,30.94,STOPPED 
26664,9.18,9.18,0.05,0.04,0.02,0.04,0.00,30.94,STOPPED 
27664,9.14,9.14,0.05,0.05,0.02,0.04,0.00,30.94,STOPPED 
28664,9.16,9.16,0.07,0.05,0.03,0.04,0.00,30.94,STOPPED 
29664,9.18,9.18,0.07,0.05,0.03,0.04,0.00,30.94,STOPPED 
30664,9.15,9.15,0.07,0.04,0.02,0.04,0.00,30.94,STOPPED 
